timevote,subgroup,id,moment,student,gender,age,thermalsatisfaction,iaqsatisfaction,acousticsatisfaction,visualsatisfaction,ieqsatisfaction,clo_simple,activity,thermal_warm,thermal_cold,thermal_draft,thermal_other,iaq_stuffy,iaq_odour,iaq_dry,iaq_humid,iaq_other,ac_classroom,ac_hallway,ac_device,ac_outside,ac_other,vis_blackboard,vis_underexposure,vis_overexposure,vis_glare,vis_other,locationback,locationfront,troom,rh,co2,voc,sound,lighting,ea,ttrend,trm,locationleft,locationright,locationmiddle,groupobs,windowmajority,windowsclosed,activitymajority,time_troom,time_rh,time_co2,time_ea,time_trend,time_sound,time_voc,time_lighting,casestudy,clo_detailed,ac_ventilation,af
22/11/2021 10:08,E,PS_E?,End,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E13,End,True,male,11.0,4,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E11,End,True,female,11.0,5,5,1,5,4,Neutral,,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,,True,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E3,End,True,female,11.0,3,3,3,4,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,True,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E9,End,True,female,11.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,True,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E14,End,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,True,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E4,Start,True,male,12.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,True,False,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E10,End,True,female,11.0,4,4,2,3,4,Warmly,,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,,False,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,True,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:08,E,PS_E6,End,True,female,11.0,5,5,5,5,4,Warmly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,True,False,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:06,PrimarySchool,,,
22/11/2021 10:09,E,PS_E12,End,True,female,11.0,5,3,3,4,3,Warmly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:11,PrimarySchool,,,
